Date,Directorate,Beneficiary,Summary,Amount,Merchant Category,Supplier Number
10/04/2020,Community Services,Bradford District Credit Union,Maintenance,396.87,Utilities,S580
11/04/2020,Education,Jelf Insurance Brokers Ltd,Equipment Purchase,289.58,Consulting,S453
11/04/2020,Housing,Sats Companion Ltd,Project Management,312.13,Food & Drink Purchases,S878
11/04/2020,Healthcare,PTS Compliance Ltd,Consultation,393.18,Office Supplies,S773
11/04/2020,Education,Heritage Carpets (LS) Ltd,Project Management,133.43,Office Supplies,S888
11/04/2020,Infrastructure,InterClimate Trust,Equipment Purchase,65.97,Utilities,S867
11/04/2020,Healthcare,Bm Care Warwick Ltd,Consultation,369.98,Food & Drink Purchases,S908
11/04/2020,Healthcare,Ashcroft Hollow Nursing Home,Training,116.05,Food & Drink Purchases,S465
11/04/2020,Education,Gls Educational Supplies Ltd,Maintenance,221.66,Travel Expenses,S631
12/04/2020,Community Services,ACAS,Training,146.93,Utilities,S760
12/04/2020,Education,City Road Primary Academy,Maintenance,93.05,Travel Expenses,S697
12/04/2020,Healthcare,Cheltenham Road (62),Consultation,257.19,Office Supplies,S555
12/04/2020,Housing,Advanced Business Software & Solutions,Equipment Purchase,167.18,Utilities,S939
12/04/2020,Education,Cooper Mobile Services Ltd,Consultation,130.43,Food & Drink Purchases,S114
12/04/2020,Infrastructure,Erdington Town Centre Partnership,Training,461.13,Travel Expenses,S741
12/04/2020,Housing,The Pro Source Team Limited,Consultation,399.27,Utilities,S433
13/04/2020,Community Services,Southside Business District Limited,Maintenance,224.15,Utilities,S144
13/04/2020,Infrastructure,Eastside Projects Ltd,Maintenance,475.33,Utilities,S826
13/04/2020,Infrastructure, Carpets Limited,Maintenance,203.1,Travel Expenses,S254
13/04/2020,Community Services,Explorer Dome LLP,Project Management,478.05,Office Supplies,S474
13/04/2020,Healthcare,Alarm & Vision Ltd,Project Management,138.93,Office Supplies,S235
13/04/2020,Community Services,Peak District National Park Authority,Project Management,273.5,Travel Expenses,S579
13/04/2020,Housing,Department for Transport,Consultation,329.32,Travel Expenses,S690
13/04/2020,Education,Learndirect Ltd,Consultation,497.88,Utilities,S532
14/04/2020,Community Services,Iken Business Ltd,Consultation,165.96,Travel Expenses,S520
14/04/2020,Community Services,Total Computer Network Support (TCNS) LTD,Consultation,60.16,Travel Expenses,S721
14/04/2020,Community Services,Community Environmental Trust,Training,56.47,Utilities,S741
14/04/2020,Housing,Peterborough United Football Club,Project Management,103.24,Travel Expenses,S252
14/04/2020,Education,Goodbye Blue Monday,Training,470.4,Utilities,S458
14/04/2020,Healthcare,Bertz Associates Ltd,Training,377.13,Food & Drink Purchases,S913
14/04/2020,Education,Gemco Service Ltd,Equipment Purchase,173.83,Consulting,S862
14/04/2020,Education,Tanglewood Care Services Limited,Consultation,415.51,Food & Drink Purchases,S474
15/04/2020,Housing,Priory Education Services Ltd,Equipment Purchase,438.57,Consulting,S882
15/04/2020,Education,Southcrest Nursing Home,Equipment Purchase,181.44,Utilities,S350
15/04/2020,Healthcare,Newday Nursing Home,Consultation,189.15,Consulting,S195
15/04/2020,Community Services,Hyde High School,Consultation,149.06,Consulting,S825
15/04/2020,Housing,Outback2Basics,Training,158.7,Office Supplies,S125
15/04/2020,Housing,Dudley and West Midlands Zoological Society Limited,Project Management,406.32,Consulting,S742
15/04/2020,Education,LegionellaSafe Services (UK) Limited,Equipment Purchase,324.0,Consulting,S578
16/04/2020,Healthcare,Irwin Mitchell LLP,Consultation,223.19,Travel Expenses,S326
16/04/2020,Healthcare,Fix Up Enterprises Ltd,Equipment Purchase,363.54,Food & Drink Purchases,S422
16/04/2020,Education,Reed Talent Solutions Limited,Project Management,320.72,Utilities,S701
16/04/2020,Infrastructure,Hearing Products International Ltd,Consultation,78.88,Utilities,S609
16/04/2020,Healthcare,May Lane Allotment Association,Training,427.0,Office Supplies,S900
16/04/2020,Healthcare,Rees Foundation,Equipment Purchase,134.55,Food & Drink Purchases,S327
16/04/2020,Community Services,Community Actions for Local Opportunities,Training,253.87,Consulting,S759
16/04/2020,Housing,Stephen George + Partners LLP,Equipment Purchase,179.0,Consulting,S616
17/04/2020,Healthcare,Ccs Media Ltd,Project Management,493.61,Office Supplies,S127
17/04/2020,Community Services,Assisted Lives Ltd,Equipment Purchase,228.43,Travel Expenses,S270
17/04/2020,Healthcare,LCC Consultancy Limited,Consultation,490.67,Food & Drink Purchases,S168
17/04/2020,Community Services,Homeless Link,Training,318.55,Consulting,S609
17/04/2020,Education,Midland Linen Services Ltd.,Training,95.42,Office Supplies,S239
17/04/2020,Infrastructure,Trl Software Limited,Maintenance,302.8,Office Supplies,S707
17/04/2020,Infrastructure,St George's School,Equipment Purchase,354.16,Consulting,S308
17/04/2020,Infrastructure,Cartwright Cleaning Services,Training,279.93,Consulting,S313
18/04/2020,Healthcare,Midland Conservation Ltd,Equipment Purchase,345.58,Utilities,S899
18/04/2020,Education,Inst Of Translating & Interpreting,Maintenance,497.16,Office Supplies,S362
18/04/2020,Infrastructure,Serenity Integrated Care Limited,Project Management,240.97,Utilities,S462
18/04/2020,Infrastructure,Covergold Ltd,Maintenance,191.94,Utilities,S299
18/04/2020,Infrastructure,The Award Scheme Ltd,Project Management,149.23,Consulting,S554
18/04/2020,Community Services,Creative Gardening Solutions Ltd,Project Management,174.62,Travel Expenses,S432
18/04/2020,Community Services,Kjb Asset Holdings Ltd,Consultation,381.05,Utilities,S616
19/04/2020,Infrastructure,Christ The King Catholic Collegiate,Maintenance,323.93,Office Supplies,S295
19/04/2020,Healthcare,BOOH Media Plc,Training,327.95,Food & Drink Purchases,S654
19/04/2020,Education,Friendship Gardening Limited,Maintenance,347.99,Office Supplies,S475
19/04/2020,Community Services,Nessy Learning Ltd,Training,120.7,Office Supplies,S111
19/04/2020,Healthcare,The Open Theatre Company Ltd,Equipment Purchase,271.41,Consulting,S929
19/04/2020,Education,Nova International Limited,Training,146.75,Utilities,S871
19/04/2020,Healthcare,Mcphillips (Wellington ) Ltd,Equipment Purchase,451.87,Food & Drink Purchases,S934
19/04/2020,Housing,Hibbs Electrics Limited,Project Management,231.99,Office Supplies,S625
20/04/2020,Education,United Response,Equipment Purchase,372.0,Food & Drink Purchases,S834
20/04/2020,Education,Parity Projects Limited,Maintenance,238.59,Consulting,S486
20/04/2020,Infrastructure,Train Aid Ltd,Project Management,407.23,Utilities,S866
20/04/2020,Housing,Crisis UK,Maintenance,141.3,Utilities,S261
20/04/2020,Education,Connaught Comm Systems Ltd,Training,453.61,Food & Drink Purchases,S777
20/04/2020,Housing,National Timber Group England Limited,Training,419.02,Consulting,S653
20/04/2020,Housing,Community Homes of Intensive Care and Education Limited,Project Management,401.0,Office Supplies,S368
20/04/2020,Housing,Roman Way Estate CIC,Project Management,254.13,Office Supplies,S894
21/04/2020,Education,Aldermore Bank PLC,Maintenance,306.09,Office Supplies,S376
21/04/2020,Community Services,Phoenix Commercial Catering Equip L,Project Management,485.42,Utilities,S420
21/04/2020,Infrastructure,Age UK Mapleshire Ltd,Maintenance,399.06,Office Supplies,S983
21/04/2020,Education,TheBigWord Interpreting Services Limited,Equipment Purchase,294.28,Travel Expenses,S205
21/04/2020,Education,Ikon Gallery Ltd,Equipment Purchase,85.89,Travel Expenses,S105
21/04/2020,Community Services,TLM Laser Limited,Project Management,193.67,Office Supplies,S390
21/04/2020,Infrastructure,SThree PLC,Equipment Purchase,491.5,Food & Drink Purchases,S995
22/04/2020,Community Services,REDACTED - PERSONAL DATA,Training,286.12,Consulting,S575
22/04/2020,Community Services,Judge & Priestley LLP,Project Management,183.78,Travel Expenses,S486
22/04/2020,Education,Trs Roofing & Building Services,Training,424.46,Travel Expenses,S722
22/04/2020,Education,ISL Skip Hire Limited,Training,332.37,Travel Expenses,S734
22/04/2020,Healthcare,S&S Roofing WM Ltd,Project Management,139.23,Utilities,S968
22/04/2020,Education,Creative Communicators Ltd,Consultation,314.73,Office Supplies,S578
22/04/2020,Housing,Kingfisher Environmental Services Limited,Equipment Purchase,441.51,Consulting,S858
22/04/2020,Housing,Step into Teaching Limited,Project Management,88.24,Office Supplies,S126
23/04/2020,Community Services,Selly Park Healthcare Ltd,Equipment Purchase,71.63,Consulting,S877
23/04/2020,Community Services,Nomow Limited,Training,385.82,Office Supplies,S493
23/04/2020,Education,Accord Housing Association Ltd,Consultation,165.67,Consulting,S893
23/04/2020,Community Services,Kids Planet Day Nurseries Limited,Maintenance,194.06,Travel Expenses,S741
23/04/2020,Housing,Team Educate Ltd,Training,287.92,Office Supplies,S983
23/04/2020,Housing,Big Cat Limited,Consultation,198.48,Travel Expenses,S614
23/04/2020,Community Services,Leasowes High School - Dudley Mbc,Equipment Purchase,79.75,Utilities,S328
23/04/2020,Housing,Local Government Association,Consultation,145.44,Food & Drink Purchases,S797
24/04/2020,Community Services,Neurobox Limited,Consultation,85.41,Office Supplies,S379
24/04/2020,Infrastructure,DWF LLP,Training,199.02,Office Supplies,S301
24/04/2020,Education,CRB Cunninghams Limited,Training,486.74,Office Supplies,S348
24/04/2020,Healthcare,Leec Ltd,Consultation,338.24,Utilities,S161
24/04/2020,Healthcare,Cushman & Wakefield Debenham Tie Leung Ltd,Project Management,366.79,Utilities,S889
24/04/2020,Healthcare,Colliers International Property Consultants Ltd,Training,279.89,Travel Expenses,S936
24/04/2020,Infrastructure,Romsley Country Store Ltd,Equipment Purchase,493.96,Consulting,S202
25/04/2020,Healthcare,Hoppe (UK) Ltd,Equipment Purchase,149.9,Travel Expenses,S564
25/04/2020,Education,Marvellous History Ltd,Consultation,444.11,Travel Expenses,S858
25/04/2020,Housing,Weavers Close Limited,Equipment Purchase,300.28,Utilities,S868
25/04/2020,Housing,D & L Care Homes Ltd,Training,81.32,Office Supplies,S177
25/04/2020,Housing,Furniture @ Work Ltd,Equipment Purchase,75.26,Travel Expenses,S476
25/04/2020,Infrastructure,Avery Homes Rugeley,Equipment Purchase,289.59,Consulting,S854
25/04/2020,Community Services,Alexandra House,Training,109.92,Office Supplies,S834
25/04/2020,Education,Nelsons Solicitors Limited,Training,239.36,Utilities,S509
26/04/2020,Education,York UK Hosting Ltd,Project Management,325.78,Food & Drink Purchases,S231
26/04/2020,Healthcare,Clear & Clean Services Ltd,Training,176.63,Consulting,S688
26/04/2020,Education,House Of Care Services Ltd,Training,67.4,Office Supplies,S134
26/04/2020,Education,Boston Clark Ltd,Consultation,246.35,Food & Drink Purchases,S396
26/04/2020,Housing,Golden Living Care Services Ltd,Maintenance,318.79,Food & Drink Purchases,S251
26/04/2020,Healthcare,Oclc (UK) Ltd,Training,202.78,Office Supplies,S595
26/04/2020,Infrastructure,Grant Thornton UK LLP,Equipment Purchase,331.6,Office Supplies,S867
26/04/2020,Infrastructure,Father Hudson's Society,Equipment Purchase,195.85,Utilities,S704
27/04/2020,Community Services,St Johns Church Of England Primary SchooL,Training,211.04,Travel Expenses,S727
27/04/2020,Healthcare,OR Education Ltd,Maintenance,450.51,Food & Drink Purchases,S439
27/04/2020,Healthcare,Touchwood Private Hire Ltd,Consultation,92.35,Utilities,S987
27/04/2020,Education,Black Swan International Ltd,Equipment Purchase,371.54,Food & Drink Purchases,S670
27/04/2020,Healthcare,C H Davies Ltd,Training,78.95,Utilities,S577
27/04/2020,Infrastructure,Oracle Solutions Asbestos Ltd,Equipment Purchase,387.25,Food & Drink Purchases,S609
27/04/2020,Community Services,C Bastock (Funeral Directors) Ltd,Consultation,252.21,Office Supplies,S221
28/04/2020,Community Services,Atlas Facilities Management Ltd,Project Management,188.72,Consulting,S535
28/04/2020,Infrastructure,Spacehouse Limited,Project Management,488.54,Travel Expenses,S963
28/04/2020,Community Services,JLA Total Care Limited,Maintenance,456.45,Office Supplies,S664
28/04/2020,Infrastructure,Integrated Water Services Ltd,Consultation,256.82,Office Supplies,S837
28/04/2020,Education,Event Specialists Limited,Project Management,78.95,Consulting,S102
28/04/2020,Community Services,JHJ Medicolegal Ltd,Equipment Purchase,407.38,Travel Expenses,S914
28/04/2020,Housing,Akari Care,Equipment Purchase,322.61,Consulting,S704
28/04/2020,Community Services,Dactyl Publishing,Consultation,397.21,Office Supplies,S779
29/04/2020,Housing,Art Of Brilliance Ltd,Maintenance,195.86,Consulting,S381
29/04/2020,Housing,Ssaib,Project Management,306.74,Utilities,S971
29/04/2020,Healthcare,TLM Laser Limited,Training,304.3,Travel Expenses,S406
29/04/2020,Community Services,Complete It Systems Ltd,Equipment Purchase,437.1,Utilities,S603
29/04/2020,Healthcare,Wally Wear Clothing Limited,Consultation,147.88,Travel Expenses,S910
29/04/2020,Community Services,Hanborough Enterprises Ltd,Maintenance,169.3,Consulting,S324
29/04/2020,Infrastructure,Canal & River Trust,Project Management,202.0,Utilities,S930
29/04/2020,Community Services,Born To Bond CIC,Equipment Purchase,456.59,Consulting,S349
30/04/2020,Infrastructure,Midlands Arts Centre Trading Ltd,Equipment Purchase,324.5,Utilities,S400
30/04/2020,Infrastructure,Creative Preformed Markings Ltd,Training,272.19,Food & Drink Purchases,S614
30/04/2020,Infrastructure,The Attachment Research Community,Training,444.84,Consulting,S450
30/04/2020,Healthcare,Genie Printing & Mailing Ltd,Equipment Purchase,270.27,Utilities,S884
30/04/2020,Community Services,Gbm Digital Technologies Ltd,Training,495.21,Consulting,S415
30/04/2020,Housing,Mapleshire &  Mental Health NHST,Maintenance,487.49,Office Supplies,S806
30/04/2020,Infrastructure,Geesink Norba Ltd,Maintenance,415.81,Consulting,S478
01/05/2020,Healthcare,Icare Living Ltd,Consultation,305.98,Office Supplies,S994
01/05/2020,Community Services,Ysa Supply Ltd,Equipment Purchase,55.7,Travel Expenses,S297
01/05/2020,Community Services,Synthetic Turf Maintenance,Maintenance,176.38,Travel Expenses,S299
01/05/2020,Infrastructure,Cloud One Group Ltd,Equipment Purchase,97.35,Utilities,S512
01/05/2020,Housing,Countrywide Grounds Maintenance Ltd,Project Management,356.88,Consulting,S468
01/05/2020,Community Services,Prestige Air-Technology Ltd,Equipment Purchase,174.12,Consulting,S334
01/05/2020,Housing,SPV Special Projects Limited,Training,428.0,Consulting,S130
01/05/2020,Education,Technology Rentals Ltd,Maintenance,110.11,Food & Drink Purchases,S500
02/05/2020,Education,Barnardos Services Limited,Consultation,386.11,Consulting,S820
02/05/2020,Housing,Macintyre,Maintenance,328.62,Office Supplies,S902
02/05/2020,Community Services,1st & 4most Solutions Ltd,Training,356.17,Travel Expenses,S500
02/05/2020,Community Services,Ago Compliance Limited,Consultation,475.41,Consulting,S828
02/05/2020,Healthcare,Prudent Health Services Ltd,Maintenance,188.05,Utilities,S384
02/05/2020,Infrastructure,The Village Motor Company Ltd,Consultation,122.91,Utilities,S384
02/05/2020,Community Services,Vp Av Ltd,Project Management,343.13,Travel Expenses,S391
02/05/2020,Healthcare,Laser Learning Ltd,Equipment Purchase,207.69,Consulting,S241
03/05/2020,Healthcare,The Oval School,Consultation,277.29,Travel Expenses,S745
03/05/2020,Community Services,Premier Production Limited,Training,216.4,Travel Expenses,S110
03/05/2020,Community Services,G.Evans Services Limited,Consultation,152.02,Consulting,S197
03/05/2020,Housing,20-20 Trustee Services Limited,Project Management,474.66,Food & Drink Purchases,S751
03/05/2020,Education,Mighty Writer Ltd,Maintenance,410.45,Food & Drink Purchases,S499
03/05/2020,Housing,Sellick Partnership Group Ltd,Equipment Purchase,346.25,Utilities,S789
03/05/2020,Community Services,Pump International Limited,Project Management,196.52,Travel Expenses,S643
04/05/2020,Housing,Waterman Structures Limited,Training,363.47,Travel Expenses,S274
04/05/2020,Healthcare,Cornerstones Education Ltd,Training,293.77,Utilities,S890
04/05/2020,Infrastructure,Dr Nauman Khalil Ltd,Project Management,333.57,Office Supplies,S555
04/05/2020,Healthcare,CTS Environmental Management Ltd,Maintenance,362.43,Food & Drink Purchases,S554
04/05/2020,Community Services,Harvey & Brockless,Maintenance,223.61,Food & Drink Purchases,S805
04/05/2020,Community Services,Oracle Corporation UK Ltd,Consultation,171.05,Travel Expenses,S354
04/05/2020,Community Services,Environtec Limited,Project Management,268.68,Food & Drink Purchases,S589
04/05/2020,Community Services,Jigsaw Pshe Ltd,Project Management,96.34,Utilities,S782
05/05/2020,Healthcare,Lindale Homes Ltd,Consultation,373.61,Office Supplies,S244
05/05/2020,Community Services,Ltf Recruitment Limited,Consultation,102.11,Food & Drink Purchases,S597
05/05/2020,Education,Academy Transformation Trust,Equipment Purchase,216.03,Consulting,S300
05/05/2020,Education,Rts Technology Solutions Ltd,Consultation,427.62,Consulting,S340
05/05/2020,Community Services,Laser Credit Union Limited,Project Management,265.97,Food & Drink Purchases,S469
05/05/2020,Healthcare,AQA Education,Consultation,291.25,Food & Drink Purchases,S206
05/05/2020,Community Services,Creative England Ltd,Maintenance,368.2,Office Supplies,S533
05/05/2020,Education,Progress Adult Living Services Limited,Training,449.87,Office Supplies,S512
06/05/2020,Infrastructure,Sikh Women's Aid,Maintenance,258.63,Office Supplies,S486
06/05/2020,Community Services,E On Energy Solutions Ltd,Maintenance,285.53,Utilities,S735
06/05/2020,Housing,Muddy Puddles Limited,Training,297.69,Utilities,S616
06/05/2020,Housing,Uni-Lite International Ltd,Maintenance,373.71,Utilities,S782
06/05/2020,Healthcare,Speedy Asset Services Ltd,Training,77.36,Travel Expenses,S934
06/05/2020,Healthcare,Causeway Technologies Limited,Equipment Purchase,421.8,Consulting,S919
06/05/2020,Education,CED Services Ltd,Project Management,72.5,Food & Drink Purchases,S572
07/05/2020,Infrastructure,Selly Oak Trust School,Training,180.93,Consulting,S779
07/05/2020,Education,Mapleshire Moseley Rugby Ltd,Maintenance,268.69,Office Supplies,S372
07/05/2020,Community Services,Storage King West Bromwich,Equipment Purchase,60.53,Consulting,S881
07/05/2020,Community Services,Mike Ayres Design Ltd,Maintenance,479.67,Consulting,S919
07/05/2020,Community Services,Goodbye Blue Monday,Maintenance,261.56,Food & Drink Purchases,S385
07/05/2020,Community Services,Flat Stan First Aid Ltd,Project Management,201.05,Office Supplies,S755
07/05/2020,Housing,Mapleshire Catholic Primary Partnership,Equipment Purchase,482.05,Office Supplies,S213
07/05/2020,Education,RNIB Enterprises Ltd,Consultation,129.56,Office Supplies,S248
08/05/2020,Housing,Environment Agency,Equipment Purchase,490.56,Travel Expenses,S628
08/05/2020,Infrastructure,Food At The Hare Ltd,Project Management,470.52,Utilities,S399
08/05/2020,Housing,Pivotal Foods Ltd,Equipment Purchase,205.27,Consulting,S980
08/05/2020,Community Services,Ian R Metcalfe & Associates Limited,Consultation,294.29,Travel Expenses,S976
08/05/2020,Community Services,EDU365 Technical Services Limited,Equipment Purchase,161.78,Food & Drink Purchases,S821
08/05/2020,Healthcare,School Badges UK,Equipment Purchase,438.93,Utilities,S379
08/05/2020,Infrastructure,Glenthorne Care Services Limited,Consultation,136.76,Food & Drink Purchases,S744
09/05/2020,Healthcare,Homelife (Leeds) Ltd,Consultation,287.64,Office Supplies,S387
09/05/2020,Education,The Ludlow Nut Co Limited,Training,183.82,Travel Expenses,S619
09/05/2020,Community Services,"The Neurosequential Model Network, LLC",Equipment Purchase,84.52,Utilities,S657
09/05/2020,Community Services,Marblefield Ltd,Consultation,52.34,Consulting,S182
09/05/2020,Education,PSS (UK),Consultation,436.54,Consulting,S966
09/05/2020,Education,Evolve A Social Impact Co Ltd,Equipment Purchase,341.17,Travel Expenses,S149
09/05/2020,Healthcare,Mapleshire Supported Living 2010 Lt,Project Management,367.6,Consulting,S368
09/05/2020,Infrastructure,H Tempest Ltd,Project Management,109.59,Utilities,S806
10/05/2020,Infrastructure,Archives West Midlands,Maintenance,409.12,Office Supplies,S472
10/05/2020,Community Services,CBRE Ltd,Project Management,268.92,Utilities,S217
10/05/2020,Education,Arboretum Nursing Home Limited,Project Management,432.89,Food & Drink Purchases,S379
10/05/2020,Community Services,Shanti Womens Group,Maintenance,412.73,Food & Drink Purchases,S264
10/05/2020,Education,Zenergi Ltd,Maintenance,57.15,Food & Drink Purchases,S782
10/05/2020,Education,Sovereign Office Equipment Co Ltd,Project Management,479.35,Consulting,S208
10/05/2020,Housing,Aston Transitional Care Limited,Project Management,287.83,Food & Drink Purchases,S844
10/05/2020,Healthcare,The School Photography Company Limited,Training,380.9,Food & Drink Purchases,S769
11/05/2020,Housing,Nova Express Limited,Training,263.92,Food & Drink Purchases,S928
11/05/2020,Education,Heating & Cooling (Midlands) Limited,Maintenance,287.23,Utilities,S818
11/05/2020,Healthcare,FAS Window Films Ltd,Equipment Purchase,58.36,Consulting,S262
11/05/2020,Infrastructure,Springboard Research Ltd,Project Management,332.99,Office Supplies,S565
11/05/2020,Infrastructure,Excel Improved Homes Ltd,Project Management,358.89,Utilities,S949
11/05/2020,Housing,Auto Craft Specialists Ltd,Equipment Purchase,152.73,Food & Drink Purchases,S931
11/05/2020,Community Services,Citizens UK,Project Management,212.05,Office Supplies,S318
12/05/2020,Housing,Sandwell Ips Ltd,Equipment Purchase,214.01,Travel Expenses,S891
12/05/2020,Education,Mapleshire Community Hosting Network,Maintenance,413.34,Utilities,S821
12/05/2020,Education,First Practice Healthcare Ltd,Maintenance,396.76,Office Supplies,S717
12/05/2020,Infrastructure,Regalpress Limited,Equipment Purchase,312.84,Utilities,S446
12/05/2020,Community Services,Mindstretchers Ltd,Maintenance,478.85,Travel Expenses,S305
12/05/2020,Housing,Hobs Reprographics PLC,Training,380.3,Travel Expenses,S116
12/05/2020,Education,Compressed Air Services Ltd,Training,331.5,Consulting,S665
12/05/2020,Community Services,Cleverbox UK Ltd,Project Management,200.49,Utilities,S919
13/05/2020,Community Services,Whitelodge Alveley Limited,Training,443.38,Office Supplies,S176
13/05/2020,Housing,Ryal Media Group Ltd,Training,313.53,Food & Drink Purchases,S753
13/05/2020,Infrastructure,Maybo Limited,Equipment Purchase,214.96,Consulting,S109
13/05/2020,Education,Mangar International Ltd,Project Management,276.87,Utilities,S442
13/05/2020,Infrastructure,Prime Time 2 Nursery,Consultation,213.51,Office Supplies,S261
13/05/2020,Housing,Jarvis Training Management Limited,Consultation,87.76,Consulting,S721
13/05/2020,Infrastructure,Trinity Care & Support Services Ltd,Maintenance,247.91,Travel Expenses,S137
13/05/2020,Housing,The Knowledge Academy Limited,Training,326.4,Travel Expenses,S188
14/05/2020,Community Services,School Software Company.Com Ltd,Project Management,213.77,Consulting,S762
14/05/2020,Housing,Clear Skies Software Ltd,Consultation,258.01,Food & Drink Purchases,S351
14/05/2020,Infrastructure,Inspire Sports Consultancy,Equipment Purchase,69.16,Utilities,S104
14/05/2020,Infrastructure,Sanders Senior Living Ltd,Maintenance,295.76,Travel Expenses,S176
14/05/2020,Education,Aquatronic Group Management PLC,Maintenance,217.13,Office Supplies,S574
14/05/2020,Housing,Labcal Limited,Project Management,265.74,Consulting,S364
14/05/2020,Housing,St Chad's Sanctuary,Consultation,230.78,Food & Drink Purchases,S439
15/05/2020,Healthcare,Tutor2U Ltd,Equipment Purchase,454.3,Food & Drink Purchases,S332
15/05/2020,Education,Woodward Electrical Ltd,Training,58.56,Travel Expenses,S294
15/05/2020,Community Services,Community Actions for Local Opportunities,Equipment Purchase,201.54,Office Supplies,S855
15/05/2020,Housing,Primary English Education Consultancy Limited,Training,148.78,Consulting,S855
15/05/2020,Housing,Inform Holdings Limited,Consultation,199.16,Consulting,S447
15/05/2020,Education,Catering Management Consultants Ltd,Consultation,223.13,Consulting,S679
15/05/2020,Housing,Childrens Scrapstore,Equipment Purchase,167.66,Office Supplies,S656
15/05/2020,Infrastructure,Kennedys Law LLP,Maintenance,107.0,Utilities,S184
16/05/2020,Housing,New Leaf Supported Living Limited,Consultation,408.04,Office Supplies,S558
16/05/2020,Infrastructure,Peak District National Park Authority,Training,275.86,Utilities,S312
16/05/2020,Education,Creed Catering Supplies Ltd,Project Management,408.79,Food & Drink Purchases,S350
16/05/2020,Housing,Adventure Grove,Equipment Purchase,193.74,Food & Drink Purchases,S720
16/05/2020,Infrastructure,Law Morgan Limited,Equipment Purchase,434.89,Food & Drink Purchases,S426
16/05/2020,Healthcare,The Hollies,Consultation,102.05,Consulting,S804
16/05/2020,Infrastructure,"Law, Leisure & Learning",Maintenance,282.49,Consulting,S995
16/05/2020,Community Services,Rw Services Contractors Ltd,Maintenance,397.49,Consulting,S305
17/05/2020,Infrastructure,Drumba Limited,Maintenance,101.34,Food & Drink Purchases,S356
17/05/2020,Healthcare,Cobolt Systems Ltd,Project Management,397.5,Travel Expenses,S854
17/05/2020,Infrastructure,Lyndale Estates Maintenance Ltd,Project Management,162.71,Utilities,S719
17/05/2020,Infrastructure,Sendcoservices Ltd,Consultation,484.61,Travel Expenses,S308
17/05/2020,Healthcare,Kings Security Systems Limited,Project Management,117.67,Food & Drink Purchases,S271
17/05/2020,Education,Lion Containers Limited,Maintenance,105.62,Utilities,S791
17/05/2020,Healthcare,Oasis UK Ltd,Training,155.31,Utilities,S821
18/05/2020,Housing,C3 Midlands Ltd,Maintenance,429.38,Utilities,S426
18/05/2020,Community Services,Hamilton Court,Training,53.62,Utilities,S997
18/05/2020,Healthcare,Safelincs Ltd,Maintenance,460.76,Travel Expenses,S226
18/05/2020,Housing,Carlisle & District Credit Union Lt,Maintenance,215.89,Travel Expenses,S266
18/05/2020,Healthcare,Premier Vanguard Limited,Consultation,355.14,Office Supplies,S224
18/05/2020,Infrastructure,Improvement & Dev Agency For Local,Training,137.4,Office Supplies,S407
18/05/2020,Healthcare,Securitec Systems Ltd,Project Management,397.67,Food & Drink Purchases,S493
18/05/2020,Education,Mapleshire Glass Services Ltd,Maintenance,253.96,Food & Drink Purchases,S134
19/05/2020,Education,The Maples Res Care Home Ltd,Project Management,291.49,Office Supplies,S880
19/05/2020,Community Services,Freedom Tech Limited,Maintenance,316.75,Utilities,S721
19/05/2020,Education,Living Streets Services Ltd,Consultation,273.28,Utilities,S183
19/05/2020,Community Services,Solution2Care Services Ltd,Project Management,487.59,Office Supplies,S432
19/05/2020,Infrastructure,Arch Ltd,Maintenance,360.82,Utilities,S764
19/05/2020,Education,Yates Machinery Services Ltd,Training,320.65,Travel Expenses,S665
19/05/2020,Infrastructure,S I E T Limited,Consultation,332.6,Utilities,S771
19/05/2020,Healthcare,Isubscribe Ltd,Consultation,149.59,Consulting,S392
20/05/2020,Community Services,P.J. Carey (Contractors) Limited,Project Management,402.58,Office Supplies,S777
20/05/2020,Infrastructure,Compressed Air Services Ltd,Training,407.17,Consulting,S242
20/05/2020,Healthcare,Aldi Stores Ltd,Equipment Purchase,439.57,Food & Drink Purchases,S317
20/05/2020,Education,Ferndale Care Services Ltd,Maintenance,389.89,Consulting,S132
20/05/2020,Housing,Wired Custom Installations Ltd,Training,215.87,Utilities,S675
20/05/2020,Healthcare,BEONTVUK Ltd,Maintenance,475.69,Utilities,S394
20/05/2020,Healthcare,Toyota Material Handling UK Ltd,Equipment Purchase,371.9,Office Supplies,S667
21/05/2020,Housing, Carpets Limited,Project Management,461.34,Food & Drink Purchases,S172
21/05/2020,Housing,Heart Of England Community Founda,Training,322.53,Office Supplies,S295
21/05/2020,Infrastructure,Opendatasoft SAS,Project Management,249.6,Consulting,S991
21/05/2020,Community Services,BHSF Occupational Health Ltd,Equipment Purchase,151.03,Office Supplies,S758
21/05/2020,Infrastructure,Insignia Crisis and Reputation Management Limited,Consultation,381.87,Consulting,S154
21/05/2020,Education,Unity Schools Partnership,Project Management,97.51,Travel Expenses,S259
21/05/2020,Infrastructure,Fetch Retreats Ltd,Maintenance,323.62,Office Supplies,S841
21/05/2020,Community Services,LSE Enterprise Ltd,Equipment Purchase,398.59,Travel Expenses,S473
22/05/2020,Community Services,Counterculture Partnership LLP,Training,450.15,Utilities,S382
22/05/2020,Housing,Spaldings UK Ltd,Maintenance,100.61,Consulting,S717
